"magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","potential","GeometryIds","magnetic field strength e:0","magnetic field strength e:1","magnetic field strength e:2","magnetic flux density e:0","magnetic flux density e:1","magnetic flux density e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.4786e+05,-850.12,0,-0.58603,-0.001172,0,-4.2954e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.0099,-0.1001,0,0
4.3644e+05,-795.74,0,-0.5911,-0.0011074,0,-4.7553e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.01012,-0.09988,0,0
4.2501e+05,-741.36,0,-0.59618,-0.0010429,0,-5.2153e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.01034,-0.09966,0,0
4.1359e+05,-686.98,0,-0.60126,-0.00097829,0,-5.6753e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.01056,-0.09944,0,0
4.0216e+05,-632.6,0,-0.60633,-0.00091372,0,-6.1353e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.01078,-0.09922,0,0
3.9074e+05,-578.22,0,-0.61141,-0.00084915,0,-6.5953e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.011,-0.099,0,0
3.7931e+05,-523.83,0,-0.61648,-0.00078458,0,-7.0553e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.01122,-0.09878,0,0
3.6789e+05,-469.45,0,-0.62156,-0.00072,0,-7.5153e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.01144,-0.09856,0,0
3.5646e+05,-415.07,0,-0.62663,-0.00065543,0,-7.9753e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.01166,-0.09834,0,0
3.4813e+05,-1223.7,0,-0.63426,-0.0017635,0,6.9909e-06,1,3.9817e+05,40878,0,-0.67972,0.056494,0,1,0.01188,-0.09812,0,0
3.4623e+05,-1230.5,0,-0.64661,-0.0017687,0,8.1515e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.0121,-0.0979,0,0
3.4503e+05,-1130.5,0,-0.65946,-0.0016271,0,7.4648e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01232,-0.09768,0,0
3.4383e+05,-1030.4,0,-0.67232,-0.0014856,0,6.7781e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01254,-0.09746,0,0
3.4263e+05,-930.42,0,-0.68517,-0.0013441,0,6.0914e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01276,-0.09724,0,0
3.4143e+05,-830.39,0,-0.69803,-0.0012026,0,5.4047e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01298,-0.09702,0,0
3.4023e+05,-730.36,0,-0.71088,-0.0010611,0,4.718e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.0132,-0.0968,0,0
3.3903e+05,-630.33,0,-0.72374,-0.00091956,0,4.0312e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01342,-0.09658,0,0
3.3783e+05,-530.3,0,-0.73659,-0.00077805,0,3.3445e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01364,-0.09636,0,0
3.3663e+05,-430.27,0,-0.74945,-0.00063653,0,2.6578e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01386,-0.09614,0,0
3.3543e+05,-330.24,0,-0.76231,-0.00049501,0,1.9711e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01408,-0.09592,0,0
3.3423e+05,-230.21,0,-0.77516,-0.0003535,0,1.2844e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.0143,-0.0957,0,0
3.3303e+05,-130.19,0,-0.78802,-0.00021199,0,5.9769e-07,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01452,-0.09548,0,0
3.3183e+05,-30.157,0,-0.80087,-7.047e-05,0,-8.9032e-08,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01474,-0.09526,0,0
3.3063e+05,69.872,0,-0.81373,7.1046e-05,0,-7.7575e-07,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01496,-0.09504,0,0
3.2943e+05,169.9,0,-0.82658,0.00021256,0,-1.4625e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01518,-0.09482,0,0
3.2823e+05,269.93,0,-0.83944,0.00035408,0,-2.1492e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.0154,-0.0946,0,0
3.2703e+05,369.96,0,-0.85229,0.00049559,0,-2.8359e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01562,-0.09438,0,0
3.2583e+05,469.99,0,-0.86515,0.00063711,0,-3.5226e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01584,-0.09416,0,0
3.2463e+05,570.02,0,-0.878,0.00077863,0,-4.2093e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01606,-0.09394,0,0
3.2343e+05,670.05,0,-0.89086,0.00092014,0,-4.8961e-06,1,3.5222e+05,-1106.8,0,-0.74322,-0.0015297,0,1,0.01628,-0.09372,0,0
3.2263e+05,736.02,0,-0.89684,0.0010129,0,-5.3519e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0165,-0.0935,0,0
3.2249e+05,746.48,0,-0.89163,0.0010261,0,-5.4314e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01672,-0.09328,0,0
3.2234e+05,756.95,0,-0.88641,0.0010393,0,-5.511e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01694,-0.09306,0,0
3.222e+05,767.42,0,-0.8812,0.0010525,0,-5.5906e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01716,-0.09284,0,0
3.2205e+05,777.88,0,-0.87599,0.0010657,0,-5.6701e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01738,-0.09262,0,0
3.2191e+05,788.35,0,-0.87077,0.001079,0,-5.7497e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0176,-0.0924,0,0
3.2176e+05,798.82,0,-0.86556,0.0010922,0,-5.8293e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01782,-0.09218,0,0
3.2161e+05,809.28,0,-0.86035,0.0011054,0,-5.9088e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01804,-0.09196,0,0
3.2147e+05,819.75,0,-0.85513,0.0011186,0,-5.9884e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01826,-0.09174,0,0
3.2132e+05,830.22,0,-0.84992,0.0011318,0,-6.0679e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01848,-0.09152,0,0
3.2118e+05,840.68,0,-0.84471,0.0011451,0,-6.1475e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0187,-0.0913,0,0
3.2103e+05,851.15,0,-0.83949,0.0011583,0,-6.2271e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01892,-0.09108,0,0
3.2089e+05,861.62,0,-0.83428,0.0011715,0,-6.3066e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01914,-0.09086,0,0
3.2074e+05,872.08,0,-0.82907,0.0011847,0,-6.3862e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01936,-0.09064,0,0
3.2059e+05,882.55,0,-0.82385,0.0011979,0,-6.4658e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.01958,-0.09042,0,0
